"id"	"ta_meaning"
"75"	"எனப்படுத்தப்படாத, கூறப்படாத"
"76"	"எண்ணப்படாதது; குறிப்பிடப்படாதது; அகேதிதத்த நிலை"
"78"	"லேசான, கழிவில்லாத"
"79"	"தேவன்மார்களின் வகை; இறுதி; மிக பெரிய; உண்மையில், இளஞ்சோதை அல்ல"
"80"	"அந்திம, மிகுந்த, தேவகுலத்திற்கான அழகுரு; தொகுப்பில் இளவர்கள் அல்லாதவர்"
"81"	"உயர்ந்த தேவா நிலக்கேற்றுச் செல்லும்"
"82"	"அக்கரமான, வரவேற்பிற்குப் பொருத்தமற்ற, ஒத்துப்போக்கற்ற"
"83"	"ஆண்மையான, ஒத்திகைஞானமின்றி, விரும்பப்படாத இரென்சம், விரும்பப்படாத ரூபம்"
"85"	"வலிவான; வரவேற்கப்படாத; அசராத"
"88"	"இச்சேதம் செய்யப்படவில்லை; புள்ளியால் குறிக்கப்படவில்லை"
"89"	"அமைத்தான்; நடத்தினான்; திட்டமிட்டு கொடுத்தான்; செய்கிறான்; முன்னணி இருப்பதற்கு ஏற்படுத்தினான்"
"90"	"(வினய) அனுமதிக்கப்படாத; உகந்தது அல்ல; பொருத்தமல்ல; சொல்வதாவது: பொருத்தமாக இருக்கக்கூடாது"
"91"	"தக்கதானமற்றது; அனுமதிக்க முடியாத உருப்படி; அச்சத்தில் பொருந்தக்கூடியது என்பது இல்லை"
"92"	"உருவாக்கப்படாத, சமூகமீது அல்லாத, உருவாக்கத்தோடு தொடர்புடையதில்லாப் பாட்டான"
"93"	"உள்ளவேலைக்கு அங்கீகாரம் அளிக்காத; உருப்படியானது அல்ல"
"94"	"சும்மா, அனுமதிக்காத, இல்லாமல் காண்பது"
"95"	"அதிராமல்; ஆடும் என்றுயே தெரியாமல்"
"96"	"இறுக்கமில்லாத அறிவு (பற்றி)"
"97"	"கட்டுமார், குலுங்கியது, அசைந்தது, கோர்வானது, நகர்ந்தது"
"98"	"இறுக்கமான, நிலையான, கலங்காத, கலக்கம் விளைவிக்காத, அதாவது கதிர்விளையாட்டால் கலக்கப்படாத"
"99"	"அதிர்க்க முடியாத; உறுதிப்படுத்தா; குத்திக்கொடுக்கும்; வல்லவாறு அசைக்கப்படாமல்."
"100"	"துலங்காதவிதமாக"
"101"	"அதிர்ச்சி இல்லாத, கம்பனம் இல்லாத, உறுதியான"
"102"	"செயலில்லாதது; பொருத்தமற்ற வேலை; குற்றமானது (குறித்த)"
"103"	"இலக்கணம்) ஆகமராக, பொருளையெடுக்காத; விளக்கம்: பொருளில்லை"
"104"	"உயர்தரமில்லாத, பயன்பாட்டிற்கு உரியதல்ல, எதற்கும் நல்லதில்லை, என்றழுத்தத்தில் வேலை செய்ய முடியாத"
"105"	"குறைந்த மிதுக்கத்தன்மை, குறைந்த வளைக்கும் திறன், குறைந்த வடிவமைக்கும் திறன்"
"109"	"சீவினையாகும், அசுத்தம் மிக்க, தூய, மண் பூசாத"
"110"	"நாணமில்லா, வெள்ளை, மாசில்லா, அடுக்கில்லா, நிறமில்லா"
"111"	"செய்யப்படாத, உருவாக்கப்படாத"
"112"	"செய்யாமை; செயலாற்றாமை (இயன்றது); தவிர்ப்பம் (இயற்றல்)"
"113"	"செய்யப்படாது, ஆகாது, நடத்தப்படவில்லை, செய்யவேண்டாம், செய்தால் ஆவதில்லை"
"114"	"செய்யப்பட முடியாதது (க்கு); மெய்யாகச் செய்யப்பட வேண்டியது அல்ல"
"115"	"செய்ய முடியாதது; தவறான செயல்பாடு; பிரகடனம் செய்யப்படுவது இல்லை"
"116"	"நாங்கள் செய்தோம்; நாங்கள் கண்டுவிட்டோம்"
"117"	"செய்தான்; நடைமுறைப்படுத்தினான்; நிறைவேற்றினான்"
"118"	"நீங்கள் கட்டவில்லை"
"119"	"செய்யப்படவில்லை; நிறுத்தப்பட்டு உள்ளவாறு"
"121"	"செய்வான்; உருவாக்கவான்"
"122"	"செல்கின்ற, செய்கின்ற, நடந்து வருகின்ற, பங்கேற்கின்ற, நடத்துகின்ற"
"124"	"விவாதமின்மை; முரண்பாட்டிலிருந்து விடுதலை; சங்கீதம்"
"127"	"மாடிய, அதிர்ஷ்டமின்மையான, பயப்பின்மையான, தொல்லைகளற்ற"
"128"	"பலவீனமான, தெளிவற்ற, நல்ல பேச்சை நடத்தாத"
"129"	"கூடாது, சுருக்கமான, அவகாசமில்லா"
"130"	"ஆரோக்கியமில்லாத, உருப்பு போகும், மனநிலையின்மை, ஒழுங்கில்லாத"
"131"	" நோயுற்ற, காயத்தினால் பாதிக்கப்பட்ட, இழந்த, ஆற்றலின்மையுள்ள"
"134"	"பொதுமற்ற தன்மை; முற்றுமுதலான நிலை; குற்றமற்ற நிலை"
"135"	"அலைச்சலில்லாத"
"136"	"எளிதில் அடைபெறுபவன்; அவ்விதமாகவும் அடைபவராகவும்; (வர்த்தகம்) பலவகையான மா பெறுபவன்"
"138"	"கதவில்லா, கதவை வைத்திருக்காத"
"140"	"அவர் செய்தனர்; அவர் ஆட்சியினைச் செய்தனர்; அவர் செயல்படுத்தினார்"
"141"	"அவர்கள் செய்தமை."
"142"	"செய்து; உருவாக்கி; நிறைவேற்றி"
"143"	"நிராகரிச், குற்றமற்ற"
"144"	"மேலோட்டமான, குறைபாடில்லாத, மதிப்பின்றி உள்ளவர்களால் பின்பற்றப்படாத"
"145"	"விருப்பமில்லாத, தேவை இல்லாத"
"146"	"செய்ய இயலாத, விரும்பாத, ஆன்மிகம் சார்ந்த, இந்த விஷயத்தில் தேர்வு இல்லாத"
"147"	"வெறுக்கமான, விருப்பமில்லாத, தயங்குபவர்கள்"
"148"	"இமிழ்படாத, உடல்நிலையில் ஆர்வம் இல்லாத, உளக்காமமற்ற, இன்பமற்ற, ஆர்வமற்ற"
"149"	"எப்போதும் விரும்பவில்லை, தாழ்மையுடன், கட்டாயமாக, விருப்பத்தின் அமைப்பின்றி, ஒருவருக்கு விருப்பமாக இருந்தால் அல்லது இல்லையா."
"151"	"மறு பிறப்பில் இல்லாத, புதிய உடலுக்கு செல்லாத, உடலுக்குத் தொலைவாக உள்ள"
"152"	"(இலக்கணம்) எழுத்து; எழுத்தின் முதல் எழுத்து; கூச்சல் அடங்கிய உயிர்"
"153"	"செய்கிறவர் அல்ல; குற்றவாளி அல்ல; நிலைத்த மன அழுத்தம்"
"154"	"(ஆராய்ச்சியில்) எதிர் உள்ள ஆழ்வு; எதிர் நிலை; விளக்கம்: செய்யும்போது ஏற்படுத்தாத நிலை"
"155"	"காரணம் அல்லாதது; எழுத்திலே, செய்யச் செய்யாதது"
"156"	"காரணமில்லாமல், விபரமில்லாமல், காரணமில்லாத நிலை"
"157"	"(இலக்கணம்) 'அ' என்ற எழுத்தால் முடிகின்ற  "
"158"	"(இலக்கணம்) ஒரு சரப்தம்; 1-வது பேனைப் பொருட்படுத்தும் குழுவின் உருப்படிகளின் சரப்தம்"
"159"	"நிறுத்தினான்; செயல்படுத்தினான்; இனி செய்தான்"
"160"	"(இலக்கணம்) எழுத்து அகவையில் அச்சு சேர்க்கை; அ- மேலும் சேர்க்கை பூர்வகாலம், நிலைமைக்கேற்ப மற்றும் குறைபாடான பிரயோகங்கள்"
"161"	"செய்யப்படவில்லை (அதனால்); செய்யக்கூடவில்லை"
"162"	"முன்னதாக செய்யப்படாத; முன்னர் செய்யப்பட்டிராத; விவரமாக முன்னதாக செய்யப்படாமல் இருக்கிறது"
"163"	"செய்ய முடியாதது, செய்ய முடியாது, செய்ய முடியாதது, உண்மையில் செய்யக் கூடாது"
"164"	"தங்கை செய்யாத; செய்முறை செய்யாத"
"165"	"நட漂亮மில்லாத நேரம்; ஏற்ற நேரமல்ல; (என்ற) நேரம் இல்லை"
"166"	"பிழையான பருவம்; பருவமில்லை (தற்காலத்திற்கு)"
"167"	"அகாலமான, காலத்துக்கு மிஞ்சிய, கால வரையறைக்கு உட்பட்ட, தாமதமாக"
"168"	"தவறான நேரத்தில் (கிராமத்தில்) நடைபிடிக்கும்"
"169"	"காலத்திற்கு அன்னியமாக உள்ள ஆடையைச் சேர்; எதிர்பாராத ஆடை; உண்மையில் தவறான கணம் ஆடை"
"170"	"அவகாசத்தின் பால், ஆடை, உடைகள், பட்டியல், விதிமுறைகள்"
"171"	"அவசரமான, சோலைவிளரும், செழித்த, இறைவழி, அவசரமாகின்ற துணி"
"172"	"காலத்திற்கு அப்பால் உள்ள பூ; காலத்திற்கு வெளியில் தோன்றும் கலக்கம்"
"173"	"காலத்திற்கு முந்தைய மழை; கால எல்லை மீறி பெய்யுது"
"175"	"தவறான நேரத்தில் பேசுபவர்; இடையீட்டு உரையாடல் செய்வவர்; சரியான நேரத்தில் பேசாதவர்"
"176"	"உடனடி, உடனடியாக்ள வாய்ப்புகளை வழங்குவது, நேரத்துடன் தொடர்புடையதல்ல"
"177"	"சமயமின்றி, குறிப்பிட்ட காலத்தால் வரையறுக்கப்படாத, நேரத்துடன் தொடர்பில்லாத"
"178"	" தவறான நேரத்தில்; அழகாக இல்லாத சந்தர்ப்பத்தில்"
"179"	"தவறு நேரத்தில்; அத்தகைய சமயத்தில்; தோசுக்குரிய நேரத்தில்"
"180"	"இப்போதே காலம் இல்லை"
"181"	"செய்வான்; நிகழ்த்தினான்"
"182"	"செய்தான்"
"184"	"நான் செய்தேன்"
"185"	"நான் செய்தேன்"
"186"	"செய்யக் கூடாது; உருவாக்கக் கூடாது; உண்மையில் செய்யக் கூடாது"
"187"	"செய்யக்கூடியது இல்லாததைச் செய்வது; தவறாக செயல்படுவது"
"188"	"துறவுக்கேற்ப நடக்காத, கடமைகளை நிறைவேற்றாத, பொறுப்பு தவிர்க்கும்"
"189"	"எளிதான; சிரமமில்லாத; பெற எளிய"
"190"	"எவ்விதக் கஷ்டமும் இல்லாமல் அடைந்தவர்; எளிதில் அடையுதல்"
"191"	"எளிதாக, கடினமின்றி, தாமதமின்றி"
"192"	"இல்லாவதுடன், எதுவுமில்லை, இல்லாத, கருதிப்பார்க்கப்பட்ட (வசீகரமில்லாத); அரஹந்தின் பெயர்"
"193"	"யாவறும் இல்லாத நிலை; உரையில் யாவும் இல்லாத நிலை"
"194"	"அரிய விருப்பம் இல்லாத, பொருளுக்கு பற்றியிராத"
"195"	"எதுவும்; குறுந்தகவியாக எதுவும் இல்லை"
"197"	"விளக்கியது; அறிந்துபடுத்தியது (க்கு); பதிலளித்தது"
"198"	"மௌலியாமல், பாவம், அகல்வழக்கம்"
"201"	"குற்றப் புகார்களை உருவாக்குவது; மறுப்புக்கு துணையிடுவது"
"203"	"விரித்தது; எறிந்தது; வீசியது"
"204"	"செல்லாதது; செய்யாமல் இருப்பது"
"206"	"ஊக்கம் செய்யாத தத்துவத்தை பின்பற்றுவது; செயலின் பாதகிழிவை பற்றிய கோட்பாட்டுக்கு ஒட்டு மக்கள் அடிமையாக இருப்பது; பொருளில் செய்யப்படாத தத்துவம்"
"209"	"நீதி வீணாகும் செயலின் இயலின்மை; செயலில் நெறிமுறைமிக்க முக்கியத்திருத்தம் இல்லாமை"
"210"	"அதிர்ச்சியில்லாத, தூக்கம் இல்லாத, மெஷம் இல்லாத"
"211"	"உறுப்புக்கிள்ளை, உடல் தளர்ச்சி பெறாத, உடல் சோர்வு அடையாத, உடல் சோர்விலாக, உடல் சோர்வில்லாத"
"212"	"மனதாற் சோர்வாக இல்லாத, மனதாற் களைப்பாக இல்லாத, தள்ளிப் போகாத மனம்"
"213"	"வெறுக்காத, பழுதடைந்த, முற்றிலும் சோர்வில்லாத, உலராது, சோர்வில்லாத வடிவம்"
"216"	"சுறுசுறுப்பான, செயற்பாட்டாளியான, உற்றவாளான, உண்திரையில்லாத, தெளிவான"
"217"	"அறிவில்லாத, யாரையும் கேட்காததாக, அத்தகைய."
"218"	"சரியானது; மடிப்பு இல்லாமல்; (வியாபారத்தில்) ஒரே அமைப்பின்றி"
"219"	"நேராக வளர்ச்சி, குருடானது இல்லை, உறுதியற்ற உள்ளடக்கம் இல்லாமல்"
"221"	"கெட்ட நடத்தை இல்லாத, தவறு இல்லாத"
"224"	"நேராக வளர்ந்த, மறு, இல்லை என்பதற்கான சந்தேகம் இல்லாத, (வாணிஜ்யம்) சந்தேகத்திற்கு ஆளாகாது"
"228"	"திருப்பான, மருளான, வளைவில்லாத, புகுந்த, வளைத்து தொழுக்காத"
"229"	"எங்கு வேண்டுமானாலும் பயம் இல்லை; பயப்பட வேண்டும் என்பதற்கான எந்தக் காரணமும் இல்லை; வசனமாக, எங்கு பயம் இல்லை"
"230"	"தூண்டில்லை, கெந்தப்படவில்லை, கோபமில்லை, காவிந்து இருக்கவில்லை"
"231"	"இறுக்கமான; டிகைக்க முடியாத; தாக்கமூடாமல் இருக்கும்; விளக்கமாக, உரைநீங்க முடியாத"
"232"	"வாதிக்க முடியாத, குற்றம் சுமத்த முடியாத, எதிர்ப்பு வகிக்க முடியாத, குற்றம்சாட்ட முடியாத; உருக்குலைய முடியாத"
"233"	"இறுக்கமில்லாத நிலை; கட்டு அடிக்க முடியாத நிலை; நிப்பானத்தின் பெயர்; இலட்டையாக, அசைந்தற்கு முடியாத"
"235"	"அதிச் சரியாத, கலுக்காத, கிளராத ( மூலம்)"
"237"	"எதையாவது செய்யாதவருக்கான"
"239"	"செய்கின்றதுமில்லை; செய்யுமதுமில்லை"
"240"	"செய்யாத, உருவாக்காத, உருவாக்கவில்லை"
"241"	"குடுமியற்ற, குடும்பமற்ற, அழிவு அடைந்த"
"242"	"சிறந்த குடும்பத்தின் மகன் அல்ல; மதிக்கப்பட்ட இளம் பழக்கமற்றவன் அல்ல"
"243"	"அனுபவமற்ற, தாதியற்ற, செயல்முறைமற்ற, திறமையற்ற, குறைந்த திறமையுள்ள"
"244"	"பயனற்ற செயல்கள்; திறமையின்மை உள்ள நடவடிக்கைகள்; பயனற்றது"
"245"	"ஓ! இதைப் புகாரளிக்க வேண்டும்!; தயவாய்செய்யுங்கள்!"
"246"	"ஆரோக்கியமற்ற, அந்மயம், தவறான, பயனற்ற, கர்மமுறையிலான பயனிழந்த"
"247"	"அசுத்த செயல்; திறமையின்மை கொண்ட செயல்"
"248"	"திறமையற்ற செயல் வழி; அவலதரமான தொழில்"
"249"	"கெட்ட தரம்; இன்மைகள்; திறமையற்ற குணம்"
"250"	"கொடிய பண்புகளை விலக்குதல்; திறமையற்ற நிலைகளை விட்டுவிடுதல்"
"252"	"போதுமான இல்லாத நிலை"
"253"	"கேட திருமணம், திறமையற்றதின்படி"
"254"	"நன்மைமிக்கதுடன் தொடர்புடைய; அத்தகைய திறமையற்றவற்றுடன் அங்கீகாரம் பெறுதல்"
"256"	"பரிகாரம் செய்யாதவை, நன்மை செய்யாதவற்றுடன் தொடர்புடைய, அசௌகரியமான"
"257"	"தீய அடிப்படை; அாஜல்மிக்கவற்றின் அடிப்படை"
"259"	"அசௌகரியத்தின் கூடை; பயனற்று கேளிக்கையுள்ள பெரிய தொகுதி; ஐம்பாலி தடைகளைப் பற்றிய பெயர்"
"262"	"அகுழல் எண்ணம்; வளவில்லாத நினைவு"
"263"	"தவறு எனக் கருதப்படும்; பயனற்ற எனக் கணிக்கப்படும்"
"264"	"கெட்ட எண்ணம்"
"268"	"அசாரமான செயலின் அடிப்படையில்"
"269"	"அசுகவாழ்வு; அசுகச் சிந்தனை; குறைபாடு உள்ள சிந்தனை"
"270"	"சங்கித நிகாய 9.11 (எஸ்என்9.11); எழுத்து. தீய யோசனைகள் பற்றி உரை"
"271"	"கெட்ட செயல்களின் முடிவுகள்; தீய செயல்களின் பலனை"
"274"	"மிகவும் கெட்டதாக தொடர்புடைய; குற்றமாக செயல்படுகிறது"
"275"	"அலசி இல்லாத, பயந்து விடாத, செயல்பாட்டான, பெருந்துன்மையான"
"276"	"நேர்மையான, நேர்மையான, ஏமாற்றமில்லாத, நம்பகமான"
"277"	"நேர்மையானவன்; ஏமாற்றமில்லாதவன்; நேர்த்தியானவன்; நம்பக்கூடியவன்"
"278"	"குழைந்தது அல்ல, ஓசையின்றி, தாவில்லை, அமைதியான, நெகிழ்ந்த"
"283"	"துரோகமற்ற, மோசமற்ற, கட்சி அணி இல்லாத, ஊழலில் ஈடுபட்டதும் இல்லாத, நேர்மையான"
"284"	"முழுமையற்ற, அடிப்படையற்ற, நிறைவற்ற, முழுதில்லை"
"285"	"முறையாக இல்லாத, ஒரு முழுமை இல்லை, திறமைமிக்கதாக இல்லாது"
"287"	"சகிக்காத, சத்தமில்லாத, விரும்பக்கூடிய, இலட்சணங்கள் அல்லாத"
"289"	"சத்தமில்லாத, அமைதியான, கோபமின்றி உள்ள, கோபமில்லாத"
"290"	"அக செய்வதில்லாத, அசைகொள்ளாத, டிஸ்டர்ப் செய்யாத, செயல் இல்லாத"
"292"	"ஆற்றலற்ற, திறமையற்ற, வேண்டும் மனப்பாங்கான, தரிகிற, இடுப்பான"
"293"	"உதவி இல்லாத, திறமையற்ற, கைவினைபோல் ஆகாத, முதன்மையானவர் அல்லாத"
"295"	"முடிக்கோல்; கலோடிரோபிஸ் ஜிகாண்டியா"
"297"	"நின்ற, அடிக்க முடியுமா, அடிக்கையில், இங்குச் சென்ற"
"299"	"ஒவ்வொரு இடமும் அடிக்கப்பட்டது; ஒவ்வொரு இடமும் பாதிக்கப்பட்டது"
"301"	"சோகிக்கிறார்; அழுகிறது; விளக்கம்: இங்கு சோகிக்கிறது"
"304"	"கூறுகிறான், அழுத்துகிறான், இங்கு செல்கிறான்"
"305"	"செல்வான், அடியோடுகிறது, இங்கு செல்லிறார்"
"309"	"செல்கின்ற; அடிக்கின்ற (மெல்); ஊர்ந்து செல்லும்"
"310"	"அறிந்தான்; பாதைகளைக் கடத்தியான்; உண்மையில் இங்கு போய்வந்தான்"
"312"	"எடுக்கப்பட வேண்டும், அடிக்கப்பட வேண்டும், இங்கே போத வேண்டும்"
"314"	"நிலम् கொண்ட பின்னர், அடிக்கையிட்ட பின்னர், அழுத்திய பின்னர், இங்கே சென்ற பின்னர்"
"316"	"நாவினமாக அடித்து நொறுக்கப்பட்ட; கயிற்றுப் பிடித்தபடி; இங்கு நொறுக்கப்பட்ட"
"318"	"அனாதரிக்கப்படவு, கௌரவிக்கப்படவு; மோசமாக பேசப்படவு, மதிக்கப்படவு"
"320"	"உருவாசரம்; குழப்பம்; (மக்கள்) பயத்தை விதைக்கும் ஒலியீர்ப்பு"
"321"	"அழிதல்; உண்மைதான்; இங்கே நிந்தனை செய்யப்பட்டது"
"322"	"கோபமின்றி இருப்பது; கோபத்தைவிடுக்காக முன்னேற்பாடு செய்வது; எதிரிகளின்றி இருப்பது; கோபத்தை தடுக்கின்றது; ஒளி யில் கோபமும்படாத இல்லை"
"323"	"கோபமற்ற, எதிர்ப்பில்லாத, யதார்த்தமற்ற, கோபத்திற்கு உட்பட்டதாக இல்லாத"
"324"	"சசந்த நிகாயா 37.15 (சஎன்37.15); கடுமை இல்லாமல் தொடர்பான உரை"
"325"	"சோம்பல் குறித்த உரை, காமம், வெறி, சினம், சுட்டி, கருணை, சீக்கம், அக்கினி, சல்வி, சந்திரன்"
"326"	"கேவலமாக கோபிக்கவோ அசிங்கப்படுத்தவோ இல்லாமல்; எந்த அசவும் கவலையும் இல்லாமல்"
"327"	"கோபமில்லாத, கோபமிக்காத"
"328"	"சூறாறுதல்; இழிவு; நாமம் கூப்புதல்; நேராக இழிவுபடுத்துதல் здесь"
"329"	"பேச்சு திருப்தியைக் கெடுக்கும்; நிந்திப்பவர்; உண்மையில் இங்கு நிந்தனை செய்யுகிறார்"
"331"	"பிராமணனின் பெயர்; மூன்று சகோதரர்களுள் ஒருவர்; நடுக்குறிப்பு: தள்ளுபடி செய்யும் பாஹாத்வாஜன்"
"335"	"மொழியால் உணர்வுகளை குரு, நிண்ம்மரம், மெய்யுணர்வை சொல்வது; சுடுகாட்டில் இங்கு மதியுங்கள்"
"337"	"மனதில் கெடுத்தபடியாய் பேசும்; அவமானப்படுத்தும்; உறுதியாகப் புகாரளிக்கும்"
"338"	"அண்டி, மடிப்பு அல்லது சிரிக்குத்தொலைவாகக் கூறுவது; மெய்உள்ளி அவதூறு, குற்றச்சாட்டு மற்றும் காயமாக்குவது."
"339"	"அக்கோச சுத்தம், வன்முறைப் பயனாக்கம் பற்றிய உரை"
"341"	"வார்த்தை அவ்வழி உறுதி; நிந்தைக்கும் அடிப்படை"
"342"	"இவிடப்பட்ட, மதகுத்து நோக்கிய, துன்புறுத்தும், கயிற்று சொல்வதற்கான, அவமதிக்கான"
"345"	"மனைவி, வார்த்தையால் அக்கர்ச்சி செய்பவன்; துன்புறுத்துபவர்; இங்கே அக்கரசியாக இருப்பவர்"
