id,pali,selected_pali_word,class_source,extra,class_example,english_translation
22129,kukkuṭasūkarā,kukkuṭasūkarā,AN2.9,yes,"ime kho, bhikkhave, dve sukkā dhammā lokaṃ na pāleyyuṃ, nayidha paññāyetha mātāti vā mātucchāti vā mātulānīti vā ācariyabhariyāti vā garūnaṃ dārāti vā. sambhedaṃ loko agamissa, yathā ajeḷakā <b>kukkuṭasūkarā</b> soṇasiṅgālā.","If these two wholesome principles did not protect the world, it would not be clear, (this is my) mother, (this is my) mother's sister, (this is my) uncle's wife, (these are) wives of teachers. The world would become confused like goats and sheep, chickens and pigs, dogs and jackals."
64666,sūkara,sūkarā,AN2.9,yes,"ime kho, bhikkhave, dve sukkā dhammā lokaṃ na pāleyyuṃ, nayidha paññāyetha mātāti vā mātucchāti vā mātulānīti vā ācariyabhariyāti vā garūnaṃ dārāti vā. sambhedaṃ loko agamissa, yathā ajeḷakā kukkuṭa<b>sūkarā</b> soṇasiṅgālā.","If these two wholesome principles did not protect the world, it would not be clear, (this is my) mother, (this is my) mother's sister, (this is my) uncle's wife, (these are) wives of teachers. The world would become confused like goats and sheep, chickens and pigs, dogs and jackals."
65148,soṇa 3,,AN2.9,yes,"ime kho, bhikkhave, dve sukkā dhammā lokaṃ na pāleyyuṃ, nayidha paññāyetha mātāti vā mātucchāti vā mātulānīti vā ācariyabhariyāti vā garūnaṃ dārāti vā. sambhedaṃ loko agamissa, yathā ajeḷakā kukkuṭasūkarā <b>soṇa</b>siṅgālā.","If these two wholesome principles did not protect the world, it would not be clear, (this is my) mother, (this is my) mother's sister, (this is my) uncle's wife, (these are) wives of teachers. The world would become confused like goats and sheep, chickens and pigs, dogs and jackals."
65163,soṇasiṅgālā,soṇasiṅgālā,AN2.9,yes,"ime kho, bhikkhave, dve sukkā dhammā lokaṃ na pāleyyuṃ, nayidha paññāyetha mātāti vā mātucchāti vā mātulānīti vā ācariyabhariyāti vā garūnaṃ dārāti vā. sambhedaṃ loko agamissa, yathā ajeḷakā kukkuṭasūkarā <b>soṇasiṅgālā</b>.","If these two wholesome principles did not protect the world, it would not be clear, (this is my) mother, (this is my) mother's sister, (this is my) uncle's wife, (these are) wives of teachers. The world would become confused like goats and sheep, chickens and pigs, dogs and jackals."
62814,siṅgāla 1,siṅgālā,AN2.9,yes,"ime kho, bhikkhave, dve sukkā dhammā lokaṃ na pāleyyuṃ, nayidha paññāyetha mātāti vā mātucchāti vā mātulānīti vā ācariyabhariyāti vā garūnaṃ dārāti vā. sambhedaṃ loko agamissa, yathā ajeḷakā kukkuṭasūkarā soṇa<b>siṅgālā</b>.","If these two wholesome principles did not protect the world, it would not be clear, (this is my) mother, (this is my) mother's sister, (this is my) uncle's wife, (these are) wives of teachers. The world would become confused like goats and sheep, chickens and pigs, dogs and jackals."
31691,dakkhi,dakkhuṃ,AN4.49,,"aniccaṃ aniccato <b>dakkhuṃ</b>, dukkham'addakkhu dukkhato.",“They saw what is impermanent as impermanent. They saw suffering as suffering.”
31736,dakkhuṃ,dakkhuṃ,AN4.49,,"aniccaṃ aniccato <b>dakkhuṃ</b>, dukkham'addakkhu dukkhato.",“They saw what is impermanent as impermanent. They saw suffering as suffering.”
32933,dukkhamaddasā,dukkham'addakkhu,AN4.49,,"aniccaṃ aniccato dakkhuṃ, <b>dukkham'addakkhu</b> dukkhato. anattani anattā'ti, asubhaṃ asubhat'addasuṃ. sammādiṭṭhisamādānā, sabbaṃ dukkhaṃ upaccagun'ti","“They saw what is impermanent as impermanent. They saw suffering as suffering. They have seen what is non-self as non-self, they have perceived what is foul as foul. Taking upon themselves right view, they overcame all suffering.”"
2970,addakkhu,addakkhu,AN4.49,,"aniccaṃ aniccato dakkhuṃ, dukkham'<b>addakkhu</b> dukkhato. anattani anattā'ti, asubhaṃ asubhat'addasuṃ. sammādiṭṭhisamādānā, sabbaṃ dukkhaṃ upaccagun'ti","“They saw what is impermanent as impermanent. They saw suffering as suffering. They have seen what is non-self as non-self, they have perceived what is foul as foul. Taking upon themselves right view, they overcame all suffering.”"
9821,asubhato,,AN4.49,,"aniccaṃ aniccato dakkhuṃ, dukkham'addakkhu dukkhato. anattani anattā'ti, asubhaṃ <b>asubhat</b>'addasuṃ. sammādiṭṭhisamādānā, sabbaṃ dukkhaṃ upaccagun'ti","“They saw what is impermanent as impermanent. They saw suffering as suffering. They have seen what is non-self as non-self, they have perceived what is foul as foul. Taking upon themselves right view, they overcame all suffering.”"
9819,asubhataddasa,asubhat'addasuṃ,AN4.49,,"aniccaṃ aniccato dakkhuṃ, dukkham'addakkhu dukkhato. anattani anattā'ti, asubhaṃ <b>asubhat'addasuṃ</b>. sammādiṭṭhisamādānā, sabbaṃ dukkhaṃ upaccagun'ti","“They saw what is impermanent as impermanent. They saw suffering as suffering. They have seen what is non-self as non-self, they have perceived what is foul as foul. Taking upon themselves right view, they overcame all suffering.”"
2978,addasuṃ,addasuṃ,AN4.49,,"aniccaṃ aniccato dakkhuṃ, dukkham'addakkhu dukkhato. anattani anattā'ti, asubhaṃ asubhat'<b>addasuṃ</b>. sammādiṭṭhisamādānā, sabbaṃ dukkhaṃ upaccagun'ti","“They saw what is impermanent as impermanent. They saw suffering as suffering. They have seen what is non-self as non-self, they have perceived what is foul as foul. Taking upon themselves right view, they overcame all suffering.”"
60808,sammādiṭṭhisamādāna,sammādiṭṭhisamādānā,AN4.49,,"aniccaṃ aniccato dakkhuṃ, dukkham'addakkhu dukkhato. anattani anattā'ti, asubhaṃ asubhat'addasuṃ. <b>sammādiṭṭhisamādānā</b>, sabbaṃ dukkhaṃ upaccagun'ti","“They saw what is impermanent as impermanent. They saw suffering as suffering. They have seen what is non-self as non-self, they have perceived what is foul as foul. Taking upon themselves right view, they overcame all suffering.”"
59589,samādāna,samādānā,AN4.49,,"aniccaṃ aniccato dakkhuṃ, dukkham'addakkhu dukkhato. anattani anattā'ti, asubhaṃ asubhat'addasuṃ. sammādiṭṭhi<b>samādānā</b>, sabbaṃ dukkhaṃ upaccagun'ti","“They saw what is impermanent as impermanent. They saw suffering as suffering. They have seen what is non-self as non-self, they have perceived what is foul as foul. Taking upon themselves right view, they overcame all suffering.”"
15471,upaccaguṃ,,AN4.49,,"aniccaṃ aniccato dakkhuṃ, dukkham'addakkhu dukkhato. anattani anattā'ti, asubhaṃ asubhat'addasuṃ. sammādiṭṭhisamādānā, sabbaṃ dukkhaṃ <b>upaccagun</b>'ti","“They saw what is impermanent as impermanent. They saw suffering as suffering. They have seen what is non-self as non-self, they have perceived what is foul as foul. Taking upon themselves right view, they overcame all suffering.”"
71288,hirī,,DHP143,,"<b>hirī</b>nisedho puriso, koci lokasmiṃ vijjati, yo nindaṃ apabodheti, asso bhadro kasām'iva","A person, restrained by conscience, exists somewhere in the world, who avoids blame like the fortunate horse the whip."
71291,hirīnisedha,hirīnisedho,DHP143,,"<b>hirīnisedho</b> puriso, koci lokasmiṃ vijjati, yo nindaṃ apabodheti, asso bhadro kasām'iva","A person, restrained by conscience, exists somewhere in the world, who avoids blame like the fortunate horse the whip."
38228,nisedha 2,nisedho,DHP143,,"hirī<b>nisedho</b> puriso, koci lokasmiṃ vijjati, yo nindaṃ apabodheti, asso bhadro kasām'iva","A person, restrained by conscience, exists somewhere in the world, who avoids blame like the fortunate horse the whip."
22946,koci 2,koci,DHP143,,"hirīnisedho puriso, <b>koci</b> lokasmiṃ vijjati, yo nindaṃ apabodheti, asso bhadro kasām'iva","A person, restrained by conscience, exists somewhere in the world, who avoids blame like the fortunate horse the whip."
37315,nindā,nindaṃ,DHP143,,"hirīnisedho puriso, koci lokasmiṃ vijjati, yo <b>nindaṃ</b> apabodheti, asso bhadro kasām'iva","A person, restrained by conscience, exists somewhere in the world, who avoids blame like the fortunate horse the whip."
6237,apabodheti,apabodheti,DHP143,,"hirīnisedho puriso, koci lokasmiṃ vijjati, yo nindaṃ <b>apabodheti</b>, asso bhadro kasām'iva","A person, restrained by conscience, exists somewhere in the world, who avoids blame like the fortunate horse the whip."
9912,assa 1.1,asso,DHP143,,"hirīnisedho puriso, koci lokasmiṃ vijjati, yo nindaṃ apabodheti, <b>asso</b> bhadro kasām'iva","A person, restrained by conscience, exists somewhere in the world, who avoids blame like the fortunate horse the whip."
20737,kasā,kasām,DHP143,,"hirīnisedho puriso, koci lokasmiṃ vijjati, yo nindaṃ apabodheti, asso bhadro <b>kasām</b>'iva","A person, restrained by conscience, exists somewhere in the world, who avoids blame like the fortunate horse the whip."
2878,adāsi,adāsi,KHP7,yes,"<b>adāsi</b> me akāsi me, ñātimittā sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe katam'anussaraṃ.","“He gave to me, he did for me, they [were] my family, friends, and companions”; one should give a donation to the departed, remembering what was done before (by them)."
181,akāsi 1,akāsi,KHP7,yes,"adāsi me <b>akāsi</b> me, ñātimittā sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe katam'anussaraṃ.","“He gave to me, he did for me, they [were] my family, friends, and companions”; one should give a donation to the departed, remembering what was done before (by them)."
28933,ñātimittā,ñātimittā,KHP7,yes,"adāsi me akāsi me, <b>ñātimittā</b> sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe katam'anussaraṃ.","“He gave to me, he did for me, they [were] my family, friends, and companions”; one should give a donation to the departed, remembering what was done before (by them)."
52657,mitta 1,,KHP7,yes,"adāsi me akāsi me, ñāti<b>mittā</b> sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe katam'anussaraṃ.","“He gave to me, he did for me, they [were] my family, friends, and companions”; one should give a donation to the departed, remembering what was done before (by them)."
56525,sakha,sakhā,KHP7,yes,"adāsi me akāsi me, ñātimittā <b>sakhā</b> ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe katam'anussaraṃ.","“He gave to me, he did for me, they [were] my family, friends, and companions”; one should give a donation to the departed, remembering what was done before (by them)."
47272,peta 2,petānaṃ,KHP7,yes,"adāsi me akāsi me, ñātimittā sakhā ca me. <b>petānaṃ</b> dakkhiṇaṃ dajjā, pubbe katam'anussaraṃ.","“He gave to me, he did for me, they [were] my family, friends, and companions”; one should give a donation to the departed, remembering what was done before (by them)."
19649,katamanussaranta,,KHP7,yes,"adāsi me akāsi me, ñātimittā sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe <b>katam'anussaraṃ</b>.","“He gave to me, he did for me, they [were] my family, friends, and companions”; one should give a donation to the departed, remembering what was done before (by them)."
31739,dajjā,dajjā,KHP7,yes,"petānaṃ dakkhiṇaṃ <b>dajjā</b>, pubbe katam'anussaraṃ.","one should give a donation to the departed, remembering what was done before (by them)."
29582,tattha tattha 1,tattha tattha,MN131,,"paccuppannañ'ca yaṃ dhammaṃ, <b>tattha tattha</b> vipassati. asaṃhiraṃ asaṅkuppaṃ, taṃ vidvā m'anubrūhaye",And he understands with insight right there any state which is presently arisen. (or) And he understands with insight in each and every case a state which is presently arisen. One who is wise should cultivate that unmovable and steady [state].
29583,tattha tattha 2,tattha tattha,MN131,,"paccuppannañ'ca yaṃ dhammaṃ, <b>tattha tattha</b> vipassati. asaṃhiraṃ asaṅkuppaṃ, taṃ vidvā m'anubrūhaye",And he understands with insight right there any state which is presently arisen. (or) And he understands with insight in each and every case a state which is presently arisen. One who is wise should cultivate that unmovable and steady [state].
68376,vipassati,vipassati,MN131,,"paccuppannañ'ca yaṃ dhammaṃ, tattha tattha <b>vipassati</b>. asaṃhiraṃ asaṅkuppaṃ, taṃ vidvā m'anubrūhaye",And he understands with insight right there any state which is presently arisen. (or) And he understands with insight in each and every case a state which is presently arisen. One who is wise should cultivate that unmovable and steady [state].
9667,asaṃhira,asaṃhiraṃ,MN131,,"paccuppannañ'ca yaṃ dhammaṃ, tattha tattha vipassati. <b>asaṃhiraṃ</b> asaṅkuppaṃ, taṃ vidvā m'anubrūhaye",And he understands with insight right there any state which is presently arisen. (or) And he understands with insight in each and every case a state which is presently arisen. One who is wise should cultivate that unmovable and steady [state].
9319,asaṅkuppa,asaṅkuppaṃ,MN131,,"paccuppannañ'ca yaṃ dhammaṃ, tattha tattha vipassati. asaṃhiraṃ <b>asaṅkuppaṃ</b>, taṃ vidvā m'anubrūhaye",And he understands with insight right there any state which is presently arisen. (or) And he understands with insight in each and every case a state which is presently arisen. One who is wise should cultivate that unmovable and steady [state].
68016,vidvant,vidvā,MN131,,"paccuppannañ'ca yaṃ dhammaṃ, tattha tattha vipassati. asaṃhiraṃ asaṅkuppaṃ, taṃ <b>vidvā</b> m'anubrūhaye",And he understands with insight right there any state which is presently arisen. (or) And he understands with insight in each and every case a state which is presently arisen. One who is wise should cultivate that unmovable and steady [state].
4991,anubrūhayati,anubrūhaye,MN131,,"paccuppannañ'ca yaṃ dhammaṃ, tattha tattha vipassati. asaṃhiraṃ asaṅkuppaṃ, taṃ vidvā m'<b>anubrūhaye</b>",And he understands with insight right there any state which is presently arisen. (or) And he understands with insight in each and every case a state which is presently arisen. One who is wise should cultivate that unmovable and steady [state].
74148,nevassa 2,nevassa,MN39,,tassa <b>nevassa</b> puratthimāya disāya udakassa āyamukhaṃ ... devo ca na kālena kālaṃ sammādhāraṃ anuppaveccheyya.,…and it had no inflow (lit: there could not be an inflow) of water from the eastern direction… and not a rain cloud [that] would rains….
46964,puratthima,puratthimāya,MN39,,tassa nevassa <b>puratthimāya</b> disāya udakassa āyamukhaṃ ... devo ca na kālena kālaṃ sammādhāraṃ anuppaveccheyya.,…and it had no inflow (lit: there could not be an inflow) of water from the eastern direction… and not a rain cloud [that] would rains….
12182,āya 1.1,,MN39,,tassa nevassa puratthimāya disāya udakassa <b>āya</b>mukhaṃ ... devo ca na kālena kālaṃ sammādhāraṃ anuppaveccheyya.,…and it had no inflow (lit: there could not be an inflow) of water from the eastern direction… and not a rain cloud [that] would rains….
12235,āyamukha,āyamukhaṃ,MN39,,tassa nevassa puratthimāya disāya udakassa <b>āyamukhaṃ</b> ... devo ca na kālena kālaṃ sammādhāraṃ anuppaveccheyya.,…and it had no inflow (lit: there could not be an inflow) of water from the eastern direction… and not a rain cloud [that] would rains….
34020,deva 3,devo,MN39,,tassa nevassa puratthimāya disāya udakassa āyamukhaṃ ... <b>devo</b> ca na kālena kālaṃ sammādhāraṃ anuppaveccheyya.,…and it had no inflow (lit: there could not be an inflow) of water from the eastern direction… and not a rain cloud [that] would rains….
60815,sammādhāraṃ anuppavecchati,sammādhāraṃ anuppaveccheyya,MN39,,tassa nevassa puratthimāya disāya udakassa āyamukhaṃ ... devo ca na kālena kālaṃ <b>sammādhāraṃ anuppaveccheyya</b>.,…and it had no inflow (lit: there could not be an inflow) of water from the eastern direction… and not a rain cloud [that] would rains….
60816,sammādhārā,,MN39,,tassa nevassa puratthimāya disāya udakassa āyamukhaṃ ... devo ca na kālena kālaṃ <b>sammādhāraṃ</b> anuppaveccheyya.,…and it had no inflow (lit: there could not be an inflow) of water from the eastern direction… and not a rain cloud [that] would rains….
35114,dhārā 1.1,,MN39,,tassa nevassa puratthimāya disāya udakassa āyamukhaṃ ... devo ca na kālena kālaṃ sammā<b>dhāraṃ</b> anuppaveccheyya.,…and it had no inflow (lit: there could not be an inflow) of water from the eastern direction… and not a rain cloud [that] would rains….
4935,anuppavecchati,anuppaveccheyya,MN39,,tassa nevassa puratthimāya disāya udakassa āyamukhaṃ ... devo ca na kālena kālaṃ sammādhāraṃ <b>anuppaveccheyya</b>.,…and it had no inflow (lit: there could not be an inflow) of water from the eastern direction… and not a rain cloud [that] would rains….
67481,vicitra 1,vicitrāni,MN56,,"api cāhaṃ imāni bhagavato <b>vicitrāni</b> pañhapaṭibhānāni sotukāmo, evāhaṃ bhagavantaṃ paccanīkaṃ kātabbaṃ amaññissaṃ.","But wishing to hear these varied intelligent answers of the Blessed One, I just thought I should oppose the Blessed One (lit. an opposition should be made)"
40133,pañhapaṭibhāna,pañhapaṭibhānāni,MN56,,"api cāhaṃ imāni bhagavato vicitrāni <b>pañhapaṭibhānāni</b> sotukāmo, evāhaṃ bhagavantaṃ paccanīkaṃ kātabbaṃ amaññissaṃ.","But wishing to hear these varied intelligent answers of the Blessed One, I just thought I should oppose the Blessed One (lit. an opposition should be made)"
40690,paṭibhāna 1.1,pañhapaṭibhānāni,MN56,,"api cāhaṃ imāni bhagavato vicitrāni <b>pañhapaṭibhānāni</b> sotukāmo, evāhaṃ bhagavantaṃ paccanīkaṃ kātabbaṃ amaññissaṃ.","But wishing to hear these varied intelligent answers of the Blessed One, I just thought I should oppose the Blessed One (lit. an opposition should be made)"
65263,sotuṃ,,MN56,,"api cāhaṃ imāni bhagavato vicitrāni pañhapaṭibhānāni <b>sotu</b>kāmo, evāhaṃ bhagavantaṃ paccanīkaṃ kātabbaṃ amaññissaṃ.","But wishing to hear these varied intelligent answers of the Blessed One, I just thought I should oppose the Blessed One (lit. an opposition should be made)"
65260,sotukāma,sotukāmo,MN56,,"api cāhaṃ imāni bhagavato vicitrāni pañhapaṭibhānāni <b>sotukāmo</b>, evāhaṃ bhagavantaṃ paccanīkaṃ kātabbaṃ amaññissaṃ.","But wishing to hear these varied intelligent answers of the Blessed One, I just thought I should oppose the Blessed One (lit. an opposition should be made)"
39333,paccanīka 1,paccanīkaṃ,MN56,,"api cāhaṃ imāni bhagavato vicitrāni pañhapaṭibhānāni sotukāmo, evāhaṃ bhagavantaṃ <b>paccanīkaṃ</b> kātabbaṃ amaññissaṃ.","But wishing to hear these varied intelligent answers of the Blessed One, I just thought I should oppose the Blessed One (lit. an opposition should be made)"
8451,amaññissaṃ,amaññissaṃ,MN56,,"api cāhaṃ imāni bhagavato vicitrāni pañhapaṭibhānāni sotukāmo, evāhaṃ bhagavantaṃ paccanīkaṃ kātabbaṃ <b>amaññissaṃ</b>.","But wishing to hear these varied intelligent answers of the Blessed One, I just thought I should oppose the Blessed One (lit. an opposition should be made)"
17955,etha,etha,MN65,yes,"<b>etha</b>, tumhepi, bhikkhave, ekāsanabhojanaṃ bhuñjatha; ekāsanabhojanaṃ kho, bhikkhave, tumhepi bhuñjamānā appābādhatañca sañjānissatha appātaṅkatañca lahuṭṭhānañca balañca phāsuvihārañcā'ti.","“Come monks! You all too should eat (your) meal in one sitting. Eating (your) meal in one sitting, you too will experience good health and well-being, physical lightness, strength and a comfortable existence”."
31028,tumhepi,tumhepi,MN65,yes,"etha, <b>tumhepi</b>, bhikkhave, ekāsanabhojanaṃ bhuñjatha; ekāsanabhojanaṃ kho, bhikkhave, tumhepi bhuñjamānā appābādhatañca sañjānissatha appātaṅkatañca lahuṭṭhānañca balañca phāsuvihārañcā'ti.","“Come monks! You all too should eat (your) meal in one sitting. Eating (your) meal in one sitting, you too will experience good health and well-being, physical lightness, strength and a comfortable existence”."
17749,ekāsana 3,,MN65,yes,"etha, tumhepi, bhikkhave, <b>ekāsana</b>bhojanaṃ bhuñjatha; ekāsanabhojanaṃ kho, bhikkhave, tumhepi bhuñjamānā appābādhatañca sañjānissatha appātaṅkatañca lahuṭṭhānañca balañca phāsuvihārañcā'ti.","“Come monks! You all too should eat (your) meal in one sitting. Eating (your) meal in one sitting, you too will experience good health and well-being, physical lightness, strength and a comfortable existence”."
50091,bhuñjamāna 1,bhuñjamānā,MN65,yes,"etha, tumhepi, bhikkhave, ekāsanabhojanaṃ bhuñjatha; ekāsanabhojanaṃ kho, bhikkhave, tumhepi <b>bhuñjamānā</b> appābādhatañca sañjānissatha appātaṅkatañca lahuṭṭhānañca balañca phāsuvihārañcā'ti.","“Come monks! You all too should eat (your) meal in one sitting. Eating (your) meal in one sitting, you too will experience good health and well-being, physical lightness, strength and a comfortable existence”."
7088,appābādhatā,,MN65,yes,"etha, tumhepi, bhikkhave, ekāsanabhojanaṃ bhuñjatha; ekāsanabhojanaṃ kho, bhikkhave, tumhepi bhuñjamānā <b>appābādhatañ</b>ca sañjānissatha appātaṅkatañca lahuṭṭhānañca balañca phāsuvihārañcā'ti.","“Come monks! You all too should eat (your) meal in one sitting. Eating (your) meal in one sitting, you too will experience good health and well-being, physical lightness, strength and a comfortable existence”."
57346,sañjānāti,sañjānissatha,MN65,yes,"etha, tumhepi, bhikkhave, ekāsanabhojanaṃ bhuñjatha; ekāsanabhojanaṃ kho, bhikkhave, tumhepi bhuñjamānā appābādhatañca <b>sañjānissatha</b> appātaṅkatañca lahuṭṭhānañca balañca phāsuvihārañcā'ti.","“Come monks! You all too should eat (your) meal in one sitting. Eating (your) meal in one sitting, you too will experience good health and well-being, physical lightness, strength and a comfortable existence”."
7084,appātaṅkatā,,MN65,yes,"etha, tumhepi, bhikkhave, ekāsanabhojanaṃ bhuñjatha; ekāsanabhojanaṃ kho, bhikkhave, tumhepi bhuñjamānā appābādhatañca sañjānissatha <b>appātaṅkatañ</b>ca lahuṭṭhānañca balañca phāsuvihārañcā'ti.","“Come monks! You all too should eat (your) meal in one sitting. Eating (your) meal in one sitting, you too will experience good health and well-being, physical lightness, strength and a comfortable existence”."
55677,lahu 1,,MN65,yes,"etha, tumhepi, bhikkhave, ekāsanabhojanaṃ bhuñjatha; ekāsanabhojanaṃ kho, bhikkhave, tumhepi bhuñjamānā appābādhatañca sañjānissatha appātaṅkatañca <b>lahu</b>ṭṭhānañca balañca phāsuvihārañcā'ti.","“Come monks! You all too should eat (your) meal in one sitting. Eating (your) meal in one sitting, you too will experience good health and well-being, physical lightness, strength and a comfortable existence”."
55689,lahuṭṭhāna,lahuṭṭhānañca,MN65,yes,"etha, tumhepi, bhikkhave, ekāsanabhojanaṃ bhuñjatha; ekāsanabhojanaṃ kho, bhikkhave, tumhepi bhuñjamānā appābādhatañca sañjānissatha appātaṅkatañca <b>lahuṭṭhānañca</b> balañca phāsuvihārañcā'ti.","“Come monks! You all too should eat (your) meal in one sitting. Eating (your) meal in one sitting, you too will experience good health and well-being, physical lightness, strength and a comfortable existence”."
14511,uṭṭhāna 1,,MN65,yes,"etha, tumhepi, bhikkhave, ekāsanabhojanaṃ bhuñjatha; ekāsanabhojanaṃ kho, bhikkhave, tumhepi bhuñjamānā appābādhatañca sañjānissatha appātaṅkatañca lah<b>uṭṭhānañ</b>ca balañca phāsuvihārañcā'ti.","“Come monks! You all too should eat (your) meal in one sitting. Eating (your) meal in one sitting, you too will experience good health and well-being, physical lightness, strength and a comfortable existence”."
47732,phāsuvihāra,phāsuvihārañcā,MN65,yes,"etha, tumhepi, bhikkhave, ekāsanabhojanaṃ bhuñjatha; ekāsanabhojanaṃ kho, bhikkhave, tumhepi bhuñjamānā appābādhatañca sañjānissatha appātaṅkatañca lahuṭṭhānañca balañca <b>phāsuvihārañcā</b>'ti.","“Come monks! You all too should eat (your) meal in one sitting. Eating (your) meal in one sitting, you too will experience good health and well-being, physical lightness, strength and a comfortable existence”."
