vaggas of Aṅguttara Nikāya 5	вагги Ангуттара-никаи 5
vaggas of Aṅguttara Nikāya 6	вагги Ангуттара-никаи 6
vaggas of Aṅguttara Nikāya 7	вагги Ангуттара-никаи 7
vaggas of Aṅguttara Nikāya 8	вагги Ангуттара-никаи 8
vaggas of Aṅguttara Nikāya 9	вагги Ангуттара-никаи 9
vaggas of Dhammapada	вагги Дхаммапады
vaggas of Itivuttaka	вагги Итивутки
vaggas of Majjhima Nikāya	вагги Мадджхима-никаи
vaggas of Petavatthu	вагги Петаваттху
vaggas of Saṃyutta Nikāya 1	вагги Самьютта-никаи 1
vaggas of Saṃyutta Nikāya 10	вагги Самьютта-никаи 10
vaggas of Saṃyutta Nikāya 11	вагги Самьютта-никаи 11
vaggas of Saṃyutta Nikāya 12	вагги Самьютта-никаи 12
vaggas of Saṃyutta Nikāya 14	вагги Самьютта-никаи 14
vaggas of Saṃyutta Nikāya 15	вагги Самьютта-никаи 15
vaggas of Saṃyutta Nikāya 16	вагги Самьютта-никаи 16
vaggas of Saṃyutta Nikāya 17	вагги Самьютта-никаи 17
vaggas of Saṃyutta Nikāya 18	вагги Самьютта-никаи 18
vaggas of Saṃyutta Nikāya 19	вагги Самьютта-никаи 19
vaggas of Saṃyutta Nikāya 2	вагги Самьютта-никаи 2
vaggas of Saṃyutta Nikāya 22	вагги Самьютта-никаи 22
vaggas of Saṃyutta Nikāya 23	вагги Самьютта-никаи 23
vaggas of Saṃyutta Nikāya 24	вагги Самьютта-никаи 24
vaggas of Saṃyutta Nikāya 25	вагги Самьютта-никаи 25
vaggas of Saṃyutta Nikāya 26	вагги Самьютта-никаи 26
vaggas of Saṃyutta Nikāya 27	вагги Самьютта-никаи 27
vaggas of Saṃyutta Nikāya 28	вагги Самьютта-никаи 28
vaggas of Saṃyutta Nikāya 3	вагги Самьютта-никаи 3
vaggas of Saṃyutta Nikāya 30	вагги Самьютта-никаи 30
vaggas of Saṃyutta Nikāya 31	вагги Самьютта-никаи 31
vaggas of Saṃyutta Nikāya 32	вагги Самьютта-никаи 32
vaggas of Saṃyutta Nikāya 33	вагги Самьютта-никаи 33
vaggas of Saṃyutta Nikāya 34	вагги Самьютта-никаи 34
vaggas of Saṃyutta Nikāya 35	вагги Самьютта-никаи 35
vaggas of Saṃyutta Nikāya 36	вагги Самьютта-никаи 36
vaggas of Saṃyutta Nikāya 37	вагги Самьютта-никаи 37
vaggas of Saṃyutta Nikāya 38	вагги Самьютта-никаи 38
vaggas of Saṃyutta Nikāya 39	вагги Самьютта-никаи 39
vaggas of Saṃyutta Nikāya 4	вагги Самьютта-никаи 4
vaggas of Saṃyutta Nikāya 40	вагги Самьютта-никаи 40
vaggas of Saṃyutta Nikāya 41	вагги Самьютта-никаи 41
vaggas of Saṃyutta Nikāya 42	вагги Самьютта-никаи 42
vaggas of Saṃyutta Nikāya 43	вагги Самьютта-никаи 43
vaggas of Saṃyutta Nikāya 44	вагги Самьютта-никаи 44
vaggas of Saṃyutta Nikāya 45	вагги Самьютта-никаи 45
vaggas of Saṃyutta Nikāya 46	вагги Самьютта-никаи 46
vaggas of Saṃyutta Nikāya 47	вагги Самьютта-никаи 47
vaggas of Saṃyutta Nikāya 48	вагги Самьютта-никаи 48
vaggas of Saṃyutta Nikāya 49	вагги Самьютта-никаи 49
vaggas of Saṃyutta Nikāya 5	вагги Самьютта-никаи 5
vaggas of Saṃyutta Nikāya 50	вагги Самьютта-никаи 50
vaggas of Saṃyutta Nikāya 51	вагги Самьютта-nikaи 51
vaggas of Saṃyutta Nikāya 52	вагги Самьютта-никаи 52
vaggas of Saṃyutta Nikāya 54	вагги Самьютта-никаи 54
vaggas of Saṃyutta Nikāya 55	вагги Самьютта-никаи 55
vaggas of Saṃyutta Nikāya 56	вагги Самьютта-никаи 56
vaggas of Saṃyutta Nikāya 6	вагги Самьютта-никаи 6
vaggas of Saṃyutta Nikāya 7	вагги Самьютта-никаи 7
vaggas of Saṃyutta Nikāya 8	вагги Самьютта-никаи 8
vaggas of Saṃyutta Nikāya 9	вагги Самьютта-никаи 9
vaggas of Sutta Nipāta	вагги Сутта-нипаты
vaggas of Udāna	вагги Уданы
vaggas of Vimānavatthu	вагги Виманаваттху
vaggas of the Aṅguttara Nikāya 1	главы Ангуттара Никаи 1
vaggas of the Aṅguttara Nikāya 10	главы Ангуттара Никаи 10
vaggas of the Aṅguttara Nikāya 11	главы Ангуттара Никаи 11
vaggas of the Aṅguttara Nikāya 2	главы Ангуттара Никаи 2
vaggas of the Aṅguttara Nikāya 3	главы Ангуттара Никаи 3
vaggas of the Aṅguttara Nikāya 4	главы Ангуттара Никаи 4
vaggas of the Aṅguttara Nikāya 5	главы Ангуттара Никаи 5
vaggas of the Aṅguttara Nikāya 6	главы Ангуттара Никаи 6
vaggas of the Aṅguttara Nikāya 7	главы Ангуттара Никаи 7
vaggas of the Aṅguttara Nikāya 8	главы Ангуттара Никаи 8
vaggas of the Aṅguttara Nikāya 9	главы Ангуттара Никаи 9
vaggas of the Dhammapada	главы Дхаммапады
vaggas of the Itivuttaka	главы Итивуттаки
vaggas of the Petavatthu	главы из Петаваттху
vaggas of the Saṃyutta Nikāya	вагги Самьютта-Никаи
vaggas of the Saṃyutta Nikāya 1	главы из Саньютта Никаи 1
vaggas of the Saṃyutta Nikāya 11	вагги Самьютта-никаи 11
vaggas of the Saṃyutta Nikāya 12	вагги Самьютта-никаи 12
vaggas of the Saṃyutta Nikāya 14	вагги Самьютта-Никаи 14
vaggas of the Saṃyutta Nikāya 15	вагги Самьютта-никаи 15
vaggas of the Saṃyutta Nikāya 17	вагги Самьютта-никаи 17
vaggas of the Saṃyutta Nikāya 18	вагги Самьютта-никаи 18
vaggas of the Saṃyutta Nikāya 19	вагги Самьютта-никаи 19
vaggas of the Saṃyutta Nikāya 2	главы из Самьютта Никаи 2
vaggas of the Saṃyutta Nikāya 22	вагги Самьютта-никаи 22
vaggas of the Saṃyutta Nikāya 23	вагги Самьютта-никаи 23
vaggas of the Saṃyutta Nikāya 24	вагги Самьютта-никаи 24
vaggas of the Saṃyutta Nikāya 3	главы из Саньютта Никаи 3
vaggas of the Saṃyutta Nikāya 34	вагги Самьютта-никаи 34
vaggas of the Saṃyutta Nikāya 35	вагги Самьютта-никаи 35
vaggas of the Saṃyutta Nikāya 36	вагги Самьютта-nikaи 36
vaggas of the Saṃyutta Nikāya 37	вагги Самьютта-никаи 37
vaggas of the Saṃyutta Nikāya 39	вагги Самьютта-никаи 39
vaggas of the Saṃyutta Nikāya 4	главы из Самьютта Никаи 4
vaggas of the Saṃyutta Nikāya 40	вагги Самьютта-никаи 40
vaggas of the Saṃyutta Nikāya 43	вагги Самьютта-никаи 43
vaggas of the Saṃyutta Nikāya 45	вагги Самьютта-никаи 45
vaggas of the Saṃyutta Nikāya 46	вагги Самьютта-никаи 46
vaggas of the Saṃyutta Nikāya 47	вагги Самьютта-никаи 47
vaggas of the Saṃyutta Nikāya 48	вагги Самьютта-никаи 48
vaggas of the Saṃyutta Nikāya 49	вагги Самьютта-никаи 49
vaggas of the Saṃyutta Nikāya 5	главы из Саньютта Никаи 5
vaggas of the Saṃyutta Nikāya 50	вагги Самьютта-никаи 50
vaggas of the Saṃyutta Nikāya 51	вагги Самьютта-никаи 51
vaggas of the Saṃyutta Nikāya 52	вагги Самьютта-никаи 52
vaggas of the Saṃyutta Nikāya 54	вагги Самьютта-никаи 54
vaggas of the Saṃyutta Nikāya 55	вагги Самьютта-никаи 55
vaggas of the Saṃyutta Nikāya 56	вагги Самьютта-никаи 56
vaggas of the Saṃyutta Nikāya 6	вагги Самьютта-никаи 6
vaggas of the Saṃyutta Nikāya 7	вагги Самьютта-никаи 7
vaggas of the Sutta Nipāta	главы Сутта Нипаты
vaggas of the Udāna	главы Уданы
vaggas of the Vimānavatthu	главы Виманаватту
vaggas of the saṃyutta Nikāya	главы из самьютта-никаи
valueables	ценности
verbal endings	глагольные окончания
villages, towns and cities	деревни, поселки и города
vinaya offences	нарушения винаи
weapons	оружие
ā for emphasis	ā для акцента
